iter	Logloss
0	0.6242777024
1	0.5667093644
2	0.5207859331
3	0.4844006822
4	0.437308088
5	0.4076294527
6	0.373593536
7	0.3347420898
8	0.3057095421
9	0.2740371492
10	0.2529058131
11	0.2312281537
12	0.2116535173
13	0.1979761242
14	0.179998423
15	0.1644351763
16	0.1524376791
17	0.1410628625
18	0.128119
19	0.1170924186
20	0.1088780829
21	0.1022216066
22	0.09446197061
23	0.08758091558
24	0.08131791094
25	0.07510022837
26	0.07180252853
27	0.06810039196
28	0.06482726364
29	0.0626247134
30	0.05993395704
31	0.05667943748
32	0.05531380954
33	0.05309192087
34	0.05068093509
35	0.04962981298
36	0.04793490006
37	0.04477568792
38	0.0434108715
39	0.04247313047
40	0.03975705885
41	0.03829091587
42	0.03758181197
43	0.03695915957
44	0.03603267058
45	0.03530795774
46	0.03414794155
47	0.03330198922
48	0.0316364375
49	0.03036854081
50	0.02993496787
51	0.02961085607
52	0.0288562911
53	0.02803762397
54	0.02635183728
55	0.02607274273
56	0.02447338243
57	0.02353119065
58	0.0233122985
59	0.02299766649
60	0.02195271159
61	0.02169451084
62	0.02076047775
63	0.02055057763
64	0.01969148776
65	0.01942905486
66	0.01892828251
67	0.01797331329
68	0.01742423378
69	0.0168871627
70	0.01678662579
71	0.01668167309
72	0.01658964589
73	0.01653741213
74	0.01650615731
75	0.01586636353
76	0.01523871492
77	0.01479360415
78	0.01432678129
79	0.01422947235
80	0.01410936119
81	0.01380974993
82	0.01360204002
83	0.01347379264
84	0.01291869031
85	0.01250814543
86	0.01241214507
87	0.01203790543
88	0.01181607475
89	0.01165074892
90	0.01158336209
91	0.01127174638
92	0.01075869244
93	0.01069117254
94	0.01040524784
95	0.01039209157
96	0.01036312225
97	0.01013853055
98	0.009689712439
99	0.009497008666
100	0.0092066937
101	0.009026813662
102	0.008700490512
103	0.008638672731
104	0.008419992751
105	0.008254992946
106	0.008195032299
107	0.008082239656
108	0.007934815434
109	0.007692284052
110	0.007455831795
111	0.007249230824
112	0.007031759721
113	0.006759707429
114	0.006658772892
115	0.006565693796
116	0.006417763729
117	0.006147948113
118	0.006009251093
119	0.005905686603
120	0.005824300017
121	0.005705447321
122	0.005673808282
123	0.005660938551
124	0.005639921104
125	0.005483516904
126	0.005335078272
127	0.005275152868
128	0.0052459542
129	0.005234246195
130	0.005190118919
131	0.005133455306
132	0.00496483742
133	0.00488664568
134	0.004819712178
135	0.004808787786
136	0.004793447746
137	0.004770947763
138	0.004751516677
